file_index,flips_requested,raw_bit_diff,flips_actual
1,1,108,1
1,5,141,5
1,10,118,10
1,15,123,15
1,20,136,20
1,25,117,25
1,30,120,30
1,35,134,35
1,40,105,40
1,45,138,45
1,50,121,50
2,1,118,1
2,5,125,5
2,10,121,10
2,15,117,15
2,20,129,20
2,25,119,25
2,30,145,30
2,35,132,35
2,40,135,40
2,45,125,45
2,50,126,50
3,1,115,1
3,5,123,5
3,10,143,10
3,15,133,15
3,20,125,20
3,25,133,25
3,30,117,30
3,35,111,35
3,40,144,40
3,45,133,45
3,50,128,50
4,1,130,1
4,5,120,5
4,10,121,10
4,15,121,15
4,20,139,20
4,25,126,25
4,30,109,30
4,35,134,35
4,40,119,40
4,45,128,45
4,50,123,50
5,1,133,1
5,5,125,5
5,10,146,10
5,15,139,15
5,20,141,20
5,25,115,25
5,30,135,30
5,35,128,35
5,40,130,40
5,45,134,45
5,50,121,50
6,1,134,1
6,5,132,5
6,10,142,10
6,15,126,15
6,20,126,20
6,25,121,25
6,30,122,30
6,35,142,35
6,40,125,40
6,45,144,45
6,50,130,50
7,1,120,1
7,5,120,5
7,10,125,10
7,15,129,15
7,20,131,20
7,25,126,25
7,30,137,30
7,35,131,35
7,40,133,40
7,45,123,45
7,50,119,50
8,1,131,1
8,5,135,5
8,10,125,10
8,15,119,15
8,20,132,20
8,25,125,25
8,30,134,30
8,35,132,35
8,40,140,40
8,45,140,45
8,50,130,50
9,1,127,1
9,5,121,5
9,10,145,10
9,15,138,15
9,20,125,20
9,25,151,25
9,30,125,30
9,35,126,35
9,40,122,40
9,45,129,45
9,50,138,50
10,1,126,1
10,5,127,5
10,10,125,10
10,15,132,15
10,20,133,20
10,25,123,25
10,30,128,30
10,35,114,35
10,40,132,40
10,45,131,45
10,50,141,50
11,1,144,1
11,5,132,5
11,10,138,10
11,15,136,15
11,20,132,20
11,25,141,25
11,30,133,30
11,35,135,35
11,40,119,40
11,45,129,45
11,50,106,50
12,1,127,1
12,5,142,5
12,10,138,10
12,15,119,15
12,20,131,20
12,25,129,25
12,30,124,30
12,35,134,35
12,40,122,40
12,45,137,45
12,50,122,50
13,1,120,1
13,5,132,5
13,10,139,10
13,15,139,15
13,20,122,20
13,25,136,25
13,30,135,30
13,35,122,35
13,40,130,40
13,45,136,45
13,50,126,50
14,1,133,1
14,5,122,5
14,10,122,10
14,15,121,15
14,20,127,20
14,25,122,25
14,30,129,30
14,35,130,35
14,40,128,40
14,45,131,45
14,50,118,50
15,1,137,1
15,5,120,5
15,10,125,10
15,15,133,15
15,20,133,20
15,25,147,25
15,30,130,30
15,35,132,35
15,40,126,40
15,45,144,45
15,50,146,50
16,1,135,1
16,5,124,5
16,10,130,10
16,15,131,15
16,20,143,20
16,25,124,25
16,30,120,30
16,35,121,35
16,40,129,40
16,45,135,45
16,50,121,50
17,1,136,1
17,5,138,5
17,10,119,10
17,15,132,15
17,20,127,20
17,25,136,25
17,30,140,30
17,35,111,35
17,40,125,40
17,45,123,45
17,50,115,50
18,1,137,1
18,5,127,5
18,10,135,10
18,15,119,15
18,20,135,20
18,25,133,25
18,30,140,30
18,35,118,35
18,40,119,40
18,45,118,45
18,50,119,50
19,1,144,1
19,5,132,5
19,10,126,10
19,15,124,15
19,20,134,20
19,25,109,25
19,30,121,30
19,35,121,35
19,40,130,40
19,45,139,45
19,50,130,50
20,1,144,1
20,5,128,5
20,10,132,10
20,15,118,15
20,20,133,20
20,25,128,25
20,30,123,30
20,35,126,35
20,40,127,40
20,45,118,45
20,50,129,50
21,1,136,1
21,5,140,5
21,10,129,10
21,15,127,15
21,20,136,20
21,25,135,25
21,30,124,30
21,35,134,35
21,40,132,40
21,45,123,45
21,50,126,50
22,1,123,1
22,5,114,5
22,10,129,10
22,15,131,15
22,20,136,20
22,25,127,25
22,30,126,30
22,35,126,35
22,40,129,40
22,45,129,45
22,50,129,50
23,1,124,1
23,5,129,5
23,10,131,10
23,15,130,15
23,20,140,20
23,25,130,25
23,30,121,30
23,35,129,35
23,40,131,40
23,45,119,45
23,50,116,50
24,1,128,1
24,5,121,5
24,10,123,10
24,15,133,15
24,20,128,20
24,25,126,25
24,30,131,30
24,35,125,35
24,40,121,40
24,45,137,45
24,50,122,50
25,1,129,1
25,5,124,5
25,10,134,10
25,15,128,15
25,20,127,20
25,25,134,25
25,30,116,30
25,35,137,35
25,40,121,40
25,45,130,45
25,50,139,50
26,1,128,1
26,5,113,5
26,10,128,10
26,15,116,15
26,20,128,20
26,25,126,25
26,30,124,30
26,35,133,35
26,40,130,40
26,45,135,45
26,50,145,50
27,1,130,1
27,5,134,5
27,10,125,10
27,15,137,15
27,20,137,20
27,25,128,25
27,30,124,30
27,35,134,35
27,40,113,40
27,45,143,45
27,50,114,50
28,1,144,1
28,5,133,5
28,10,141,10
28,15,123,15
28,20,125,20
28,25,125,25
28,30,133,30
28,35,130,35
28,40,139,40
28,45,130,45
28,50,125,50
29,1,124,1
29,5,134,5
29,10,125,10
29,15,134,15
29,20,131,20
29,25,117,25
29,30,127,30
29,35,114,35
29,40,131,40
29,45,124,45
29,50,142,50
30,1,129,1
30,5,134,5
30,10,125,10
30,15,141,15
30,20,124,20
30,25,131,25
30,30,139,30
30,35,126,35
30,40,122,40
30,45,119,45
30,50,118,50
31,1,125,1
31,5,116,5
31,10,129,10
31,15,136,15
31,20,131,20
31,25,132,25
31,30,135,30
31,35,122,35
31,40,144,40
31,45,122,45
31,50,110,50
32,1,117,1
32,5,119,5
32,10,140,10
32,15,127,15
32,20,124,20
32,25,137,25
32,30,119,30
32,35,143,35
32,40,123,40
32,45,129,45
32,50,117,50
33,1,137,1
33,5,130,5
33,10,137,10
33,15,132,15
33,20,132,20
33,25,133,25
33,30,131,30
33,35,121,35
33,40,115,40
33,45,140,45
33,50,141,50
34,1,135,1
34,5,133,5
34,10,136,10
34,15,147,15
34,20,132,20
34,25,134,25
34,30,127,30
34,35,134,35
34,40,124,40
34,45,131,45
34,50,124,50
35,1,127,1
35,5,121,5
35,10,133,10
35,15,131,15
35,20,126,20
35,25,124,25
35,30,138,30
35,35,125,35
35,40,127,40
35,45,118,45
35,50,132,50
36,1,131,1
36,5,130,5
36,10,130,10
36,15,127,15
36,20,114,20
36,25,127,25
36,30,134,30
